l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Battery, Adapter, Cables and User Manuals|G15-5511|No description available|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.7 GHz upto max turbo frequency at 4.5 Ghz|16|NVIDIA GeForce RTX 3050 Ti|8.0|226||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5511|No description available|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.3 GHz upto max turbo frequency at 4.6 Ghz|16|NVIDIA GeForce RTX 3050 Ti|8.0|227||
Laptop, Battery, Power Adapter, User Guide|GF66 11UD- 476IN|Katana GF66|Black|Gaming Laptop|Processing & Multitasking, Gaming|150 W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|4.60 GHz with Max Turbo Frequency|No description available|NVIDIA GeForce RTX 3050Ti|0.0|228||
Laptop, battery, adapter, cables and user manuals|G15-5511|No description available|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|1.9 GHz to max turbo frequency at 4.6 Ghz|16|NVIDIA GeForce RTX 3050Ti|8.0|229||
Laptop, battery, power adapter, user guide, backlit keyboard|Modern 15 A5M|Modern 15|Carbon Gray|Thin and Light Laptop|Processing & Multitasking|65W adapter|No description available|No description available|Ryzen 7 Octa Core|5th Gen|Yes|512 GB|8 GB|DDR4|1.8GHz Max. Boost Clock Up to 4.3GHz|No description available|AMD Radeon AMD Radeon|8.0|230||
Laptop, Power Adaptor, User Guide, Warranty Documents|FR2508TU|15s|Silver|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|Intel Integrated|0.0|231||
Laptop, Power Adapter, User Guide, Warranty Documents|15s-fq4022TU|No description available|Jet Black|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.5|16|Intel Integrated Iris Xe Graphics|4.0|232||
Laptop, Power Adaptor, User Guide, Warranty Documents|FQ4022TU|No description available|Black|Thin and Light Laptop|Performance|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|Intel Integrated Intel Iris|0.0|233||
Laptop, Power Adaptor, User Guide, Warranty Documents|A515-56|Aspire 5|Pure Silver|Notebook|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|No|No description available|8 GB|DDR4|4.20|20|Intel Integrated Iris Xe Graphics|4.0|234||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-23|Aspire 3|Pure Silver|Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Ryzen 3 Dual Core|No description available|Yes|512 GB|8 GB|DDR4|Base Frequency 2.60 GHz, Max Turbo Boost Frequency Up to 3.5 GHz|No description available|AMD Radeon AMD|2.0|235||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-FR2508TU|No description available|Natural Silver|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.7|16|Intel Integrated UHD Graphics|4.0|236||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-23|Aspire 3|Pure Silver|Notebook|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Ryzen 3 Dual Core|No description available|Yes|512 GB|4 GB|DDR4|3.5|8|Intel Integrated AMD Radeon Graphics|2.0|237||
Laptop, battery, adapter, cables and user manuals|X413EA-EB321WS|VivoBook Ultra 14 (2022)|Cobalt Blue|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|0.0|238||
